clip_id,domain,event,morphology,source,system_id,track,orig_dataset,orig_id,dcase_subset,is_cc,instance_id,split,path
real:dev:dog_bark:001,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,81722-3-0-28,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/001.wav
real:dev:dog_bark:002,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,174026-3-2-2,dev,1,-1,val,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/002.wav
real:dev:dog_bark:003,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,157649-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/003.wav
real:dev:dog_bark:004,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,52633-3-0-9,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/004.wav
real:dev:dog_bark:005,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,37869-3-1-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/005.wav
real:dev:dog_bark:006,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,176257-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/006.wav
real:dev:dog_bark:007,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,155314-3-0-2,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/007.wav
real:dev:dog_bark:008,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,155299-3-1-1,dev,1,-1,val,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/008.wav
real:dev:dog_bark:009,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,70168-3-1-20,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/009.wav
real:dev:dog_bark:010,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,38231-3-4-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/010.wav
real:dev:dog_bark:011,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,52077-3-0-13,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/011.wav
real:dev:dog_bark:012,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,61250-3-0-62,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/012.wav
real:dev:dog_bark:013,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,95404-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/013.wav
real:dev:dog_bark:014,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,95536-3-0-5,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/014.wav
real:dev:dog_bark:015,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,7383-3-1-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/015.wav
real:dev:dog_bark:016,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,63292-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/016.wav
real:dev:dog_bark:017,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,189846-3-4-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/017.wav
real:dev:dog_bark:018,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,34771-3-0-14,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/018.wav
real:dev:dog_bark:019,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,63932-3-0-1,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/019.wav
real:dev:dog_bark:020,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,194754-3-0-2,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/020.wav
real:dev:dog_bark:021,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,95549-3-0-14,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/021.wav
real:dev:dog_bark:022,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,100652-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/022.wav
real:dev:dog_bark:023,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,86279-3-0-0,dev,1,-1,val,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/023.wav
real:dev:dog_bark:024,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,57105-3-4-4,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/024.wav
real:dev:dog_bark:025,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,70168-3-1-13,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/025.wav
real:dev:dog_bark:026,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,4912-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/026.wav
real:dev:dog_bark:027,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,32318-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/027.wav
real:dev:dog_bark:028,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,159176-3-0-0,dev,1,-1,val,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/028.wav
real:dev:dog_bark:029,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,43787-3-1-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/029.wav
real:dev:dog_bark:030,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,161922-3-2-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/030.wav
real:dev:dog_bark:031,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,164311-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/031.wav
real:dev:dog_bark:032,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,82811-3-0-1,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/032.wav
real:dev:dog_bark:033,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,38231-3-2-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/033.wav
real:dev:dog_bark:034,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,81799-3-0-1,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/034.wav
real:dev:dog_bark:035,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,50223-3-0-10,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/035.wav
real:dev:dog_bark:036,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,74495-3-0-1,dev,1,-1,val,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/036.wav
real:dev:dog_bark:037,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,203356-3-0-3,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/037.wav
real:dev:dog_bark:038,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,105088-3-0-11,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/038.wav
real:dev:dog_bark:039,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,35296-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/039.wav
real:dev:dog_bark:040,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,71700-3-4-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/040.wav
real:dev:dog_bark:041,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,79584-3-1-2,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/041.wav
real:dev:dog_bark:042,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,52633-3-0-8,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/042.wav
real:dev:dog_bark:043,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,29936-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/043.wav
real:dev:dog_bark:044,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,174873-3-5-10,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/044.wav
real:dev:dog_bark:045,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,34872-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/045.wav
real:dev:dog_bark:046,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,12647-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/046.wav
real:dev:dog_bark:047,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,204919-3-1-0,dev,1,-1,val,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/047.wav
real:dev:dog_bark:048,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,203355-3-1-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/048.wav
real:dev:dog_bark:049,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,41918-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/049.wav
real:dev:dog_bark:050,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,139948-3-4-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/050.wav
real:dev:dog_bark:051,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,183989-3-1-25,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/051.wav
real:dev:dog_bark:052,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,164312-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/052.wav
real:dev:dog_bark:053,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,23131-3-4-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/053.wav
real:dev:dog_bark:054,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,72539-3-0-8,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/054.wav
real:dev:dog_bark:055,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,155312-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/055.wav
real:dev:dog_bark:056,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,20841-3-3-0,dev,1,-1,val,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/056.wav
real:dev:dog_bark:057,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,38231-3-3-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/057.wav
real:dev:dog_bark:058,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,52740-3-0-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/058.wav
real:dev:dog_bark:059,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,184725-3-0-2,dev,1,-1,val,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/059.wav
real:dev:dog_bark:060,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,173993-3-0-39,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/060.wav
real:dev:dog_bark:061,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,72579-3-0-4,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/061.wav
real:dev:dog_bark:062,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,30226-3-1-5,dev,1,-1,val,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/062.wav
real:dev:dog_bark:063,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,33696-3-4-0,dev,1,-1,val,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/063.wav
real:dev:dog_bark:064,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,100652-3-0-1,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/064.wav
real:dev:dog_bark:065,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,158607-3-2-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/065.wav
real:dev:dog_bark:066,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,59800-3-2-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/066.wav
real:dev:dog_bark:067,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,197073-3-3-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/067.wav
real:dev:dog_bark:068,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,47926-3-2-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/068.wav
real:dev:dog_bark:069,real,dog_bark,vocal_animal,dcase_dev,real,real,UrbanSound8k,34871-3-9-0,dev,1,-1,train,DCASE_2023_Challenge_Task_7_Dataset/dev/dog_bark/069.wav
