clip_id,domain,event,morphology,source,system_id,track,orig_dataset,orig_id,dcase_subset,is_cc,instance_id,split,path,cond
fsd:dev:ALRM:100357,real,ALRM,tonal,fsd50k,real,real,fsd50k,100357,dev,1,105476126434547,train,fsd50k/FSD50K.dev_audio/100357.wav,real
fsd:dev:ALRM:100459,real,ALRM,tonal,fsd50k,real,real,fsd50k,100459,dev,1,280498079971523,train,fsd50k/FSD50K.dev_audio/100459.wav,real
el:ALRM:280498079971523,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:100459,gen,1,280498079971523,train,synth/el_pairs/ALRM/280498079971523.mp3,elevenlabs
fsd:dev:ALRM:100460,real,ALRM,tonal,fsd50k,real,real,fsd50k,100460,dev,1,241461908890464,train,fsd50k/FSD50K.dev_audio/100460.wav,real
el:ALRM:241461908890464,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:100460,gen,1,241461908890464,train,synth/el_pairs/ALRM/241461908890464.mp3,elevenlabs
fsd:dev:ALRM:100461,real,ALRM,tonal,fsd50k,real,real,fsd50k,100461,dev,1,162896881610090,train,fsd50k/FSD50K.dev_audio/100461.wav,real
el:ALRM:162896881610090,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:100461,gen,1,162896881610090,train,synth/el_pairs/ALRM/162896881610090.mp3,elevenlabs
fsd:dev:ALRM:100462,real,ALRM,tonal,fsd50k,real,real,fsd50k,100462,dev,1,144205901116362,train,fsd50k/FSD50K.dev_audio/100462.wav,real
el:ALRM:144205901116362,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:100462,gen,1,144205901116362,train,synth/el_pairs/ALRM/144205901116362.mp3,elevenlabs
fsd:dev:ALRM:103335,real,ALRM,tonal,fsd50k,real,real,fsd50k,103335,dev,1,106791626656484,train,fsd50k/FSD50K.dev_audio/103335.wav,real
el:ALRM:106791626656484,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:103335,gen,1,106791626656484,train,synth/el_pairs/ALRM/106791626656484.mp3,elevenlabs
fsd:dev:ALRM:104475,real,ALRM,tonal,fsd50k,real,real,fsd50k,104475,dev,1,53281738305594,train,fsd50k/FSD50K.dev_audio/104475.wav,real
el:ALRM:53281738305594,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:104475,gen,1,53281738305594,train,synth/el_pairs/ALRM/53281738305594.mp3,elevenlabs
fsd:dev:ALRM:104476,real,ALRM,tonal,fsd50k,real,real,fsd50k,104476,dev,1,189951402025951,train,fsd50k/FSD50K.dev_audio/104476.wav,real
el:ALRM:189951402025951,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:104476,gen,1,189951402025951,train,synth/el_pairs/ALRM/189951402025951.mp3,elevenlabs
fsd:dev:ALRM:106831,real,ALRM,tonal,fsd50k,real,real,fsd50k,106831,dev,1,71223249995964,train,fsd50k/FSD50K.dev_audio/106831.wav,real
el:ALRM:71223249995964,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:106831,gen,1,71223249995964,train,synth/el_pairs/ALRM/71223249995964.mp3,elevenlabs
fsd:dev:ALRM:110133,real,ALRM,tonal,fsd50k,real,real,fsd50k,110133,dev,1,191309044790994,train,fsd50k/FSD50K.dev_audio/110133.wav,real
el:ALRM:191309044790994,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:110133,gen,1,191309044790994,train,synth/el_pairs/ALRM/191309044790994.mp3,elevenlabs
fsd:dev:ALRM:110692,real,ALRM,tonal,fsd50k,real,real,fsd50k,110692,dev,1,251454165775798,train,fsd50k/FSD50K.dev_audio/110692.wav,real
el:ALRM:251454165775798,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:110692,gen,1,251454165775798,train,synth/el_pairs/ALRM/251454165775798.mp3,elevenlabs
fsd:dev:ALRM:111707,real,ALRM,tonal,fsd50k,real,real,fsd50k,111707,dev,1,108702842571304,train,fsd50k/FSD50K.dev_audio/111707.wav,real
el:ALRM:108702842571304,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:111707,gen,1,108702842571304,train,synth/el_pairs/ALRM/108702842571304.mp3,elevenlabs
fsd:dev:ALRM:117793,real,ALRM,tonal,fsd50k,real,real,fsd50k,117793,dev,1,41344523353908,train,fsd50k/FSD50K.dev_audio/117793.wav,real
el:ALRM:41344523353908,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:117793,gen,1,41344523353908,train,synth/el_pairs/ALRM/41344523353908.mp3,elevenlabs
fsd:dev:ALRM:124734,real,ALRM,tonal,fsd50k,real,real,fsd50k,124734,dev,1,192016714731405,train,fsd50k/FSD50K.dev_audio/124734.wav,real
el:ALRM:192016714731405,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:124734,gen,1,192016714731405,train,synth/el_pairs/ALRM/192016714731405.mp3,elevenlabs
fsd:dev:ALRM:125102,real,ALRM,tonal,fsd50k,real,real,fsd50k,125102,dev,1,27895583452952,train,fsd50k/FSD50K.dev_audio/125102.wav,real
el:ALRM:27895583452952,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:125102,gen,1,27895583452952,train,synth/el_pairs/ALRM/27895583452952.mp3,elevenlabs
fsd:dev:ALRM:126519,real,ALRM,tonal,fsd50k,real,real,fsd50k,126519,dev,1,44078410245276,train,fsd50k/FSD50K.dev_audio/126519.wav,real
el:ALRM:44078410245276,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:126519,gen,1,44078410245276,train,synth/el_pairs/ALRM/44078410245276.mp3,elevenlabs
fsd:dev:ALRM:126559,real,ALRM,tonal,fsd50k,real,real,fsd50k,126559,dev,1,131147550372401,train,fsd50k/FSD50K.dev_audio/126559.wav,real
el:ALRM:131147550372401,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:126559,gen,1,131147550372401,train,synth/el_pairs/ALRM/131147550372401.mp3,elevenlabs
fsd:dev:ALRM:126560,real,ALRM,tonal,fsd50k,real,real,fsd50k,126560,dev,1,152033934479329,train,fsd50k/FSD50K.dev_audio/126560.wav,real
el:ALRM:152033934479329,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:126560,gen,1,152033934479329,train,synth/el_pairs/ALRM/152033934479329.mp3,elevenlabs
fsd:dev:ALRM:126561,real,ALRM,tonal,fsd50k,real,real,fsd50k,126561,dev,1,239558801741624,train,fsd50k/FSD50K.dev_audio/126561.wav,real
el:ALRM:239558801741624,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:126561,gen,1,239558801741624,train,synth/el_pairs/ALRM/239558801741624.mp3,elevenlabs
fsd:dev:ALRM:128021,real,ALRM,tonal,fsd50k,real,real,fsd50k,128021,dev,1,275560453606140,train,fsd50k/FSD50K.dev_audio/128021.wav,real
el:ALRM:275560453606140,synth,ALRM,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ALRM:128021,gen,1,275560453606140,train,synth/el_pairs/ALRM/275560453606140.mp3,elevenlabs
fsd:dev:AMB:101239,real,AMB,ambience,fsd50k,real,real,fsd50k,101239,dev,1,88198502846665,train,fsd50k/FSD50K.dev_audio/101239.wav,real
el:AMB:88198502846665,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:101239,gen,1,88198502846665,train,synth/el_pairs/AMB/88198502846665.mp3,elevenlabs
fsd:dev:AMB:101241,real,AMB,ambience,fsd50k,real,real,fsd50k,101241,dev,1,30128738447867,train,fsd50k/FSD50K.dev_audio/101241.wav,real
el:AMB:30128738447867,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:101241,gen,1,30128738447867,train,synth/el_pairs/AMB/30128738447867.mp3,elevenlabs
fsd:dev:AMB:101242,real,AMB,ambience,fsd50k,real,real,fsd50k,101242,dev,1,272913158403931,train,fsd50k/FSD50K.dev_audio/101242.wav,real
el:AMB:272913158403931,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:101242,gen,1,272913158403931,train,synth/el_pairs/AMB/272913158403931.mp3,elevenlabs
fsd:dev:AMB:101243,real,AMB,ambience,fsd50k,real,real,fsd50k,101243,dev,1,13180309641989,train,fsd50k/FSD50K.dev_audio/101243.wav,real
el:AMB:13180309641989,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:101243,gen,1,13180309641989,train,synth/el_pairs/AMB/13180309641989.mp3,elevenlabs
fsd:dev:AMB:101244,real,AMB,ambience,fsd50k,real,real,fsd50k,101244,dev,1,11395840805433,train,fsd50k/FSD50K.dev_audio/101244.wav,real
el:AMB:11395840805433,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:101244,gen,1,11395840805433,train,synth/el_pairs/AMB/11395840805433.mp3,elevenlabs
fsd:dev:AMB:101868,real,AMB,ambience,fsd50k,real,real,fsd50k,101868,dev,1,202407283779407,train,fsd50k/FSD50K.dev_audio/101868.wav,real
el:AMB:202407283779407,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:101868,gen,1,202407283779407,train,synth/el_pairs/AMB/202407283779407.mp3,elevenlabs
fsd:dev:AMB:103185,real,AMB,ambience,fsd50k,real,real,fsd50k,103185,dev,1,8455662046130,train,fsd50k/FSD50K.dev_audio/103185.wav,real
el:AMB:8455662046130,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:103185,gen,1,8455662046130,train,synth/el_pairs/AMB/8455662046130.mp3,elevenlabs
fsd:dev:AMB:110854,real,AMB,ambience,fsd50k,real,real,fsd50k,110854,dev,1,198632447750052,train,fsd50k/FSD50K.dev_audio/110854.wav,real
el:AMB:198632447750052,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:110854,gen,1,198632447750052,train,synth/el_pairs/AMB/198632447750052.mp3,elevenlabs
fsd:dev:AMB:116220,real,AMB,ambience,fsd50k,real,real,fsd50k,116220,dev,1,151833243051655,train,fsd50k/FSD50K.dev_audio/116220.wav,real
el:AMB:151833243051655,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:116220,gen,1,151833243051655,train,synth/el_pairs/AMB/151833243051655.mp3,elevenlabs
fsd:dev:AMB:121287,real,AMB,ambience,fsd50k,real,real,fsd50k,121287,dev,1,101754111855935,train,fsd50k/FSD50K.dev_audio/121287.wav,real
el:AMB:101754111855935,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:121287,gen,1,101754111855935,train,synth/el_pairs/AMB/101754111855935.mp3,elevenlabs
fsd:dev:AMB:138465,real,AMB,ambience,fsd50k,real,real,fsd50k,138465,dev,1,113218774451377,val,fsd50k/FSD50K.dev_audio/138465.wav,real
el:AMB:113218774451377,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:138465,gen,1,113218774451377,val,synth/el_pairs/AMB/113218774451377.mp3,elevenlabs
fsd:dev:AMB:151359,real,AMB,ambience,fsd50k,real,real,fsd50k,151359,dev,1,81566557120067,val,fsd50k/FSD50K.dev_audio/151359.wav,real
el:AMB:81566557120067,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:151359,gen,1,81566557120067,val,synth/el_pairs/AMB/81566557120067.mp3,elevenlabs
fsd:dev:AMB:156195,real,AMB,ambience,fsd50k,real,real,fsd50k,156195,dev,1,145907898578532,train,fsd50k/FSD50K.dev_audio/156195.wav,real
el:AMB:145907898578532,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:156195,gen,1,145907898578532,train,synth/el_pairs/AMB/145907898578532.mp3,elevenlabs
fsd:dev:AMB:160684,real,AMB,ambience,fsd50k,real,real,fsd50k,160684,dev,1,256443398543218,train,fsd50k/FSD50K.dev_audio/160684.wav,real
el:AMB:256443398543218,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:160684,gen,1,256443398543218,train,synth/el_pairs/AMB/256443398543218.mp3,elevenlabs
fsd:dev:AMB:161238,real,AMB,ambience,fsd50k,real,real,fsd50k,161238,dev,1,216497644825263,train,fsd50k/FSD50K.dev_audio/161238.wav,real
el:AMB:216497644825263,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:161238,gen,1,216497644825263,train,synth/el_pairs/AMB/216497644825263.mp3,elevenlabs
fsd:dev:AMB:162726,real,AMB,ambience,fsd50k,real,real,fsd50k,162726,dev,1,226459930345683,train,fsd50k/FSD50K.dev_audio/162726.wav,real
el:AMB:226459930345683,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:162726,gen,1,226459930345683,train,synth/el_pairs/AMB/226459930345683.mp3,elevenlabs
fsd:dev:AMB:170955,real,AMB,ambience,fsd50k,real,real,fsd50k,170955,dev,1,166977493854717,train,fsd50k/FSD50K.dev_audio/170955.wav,real
el:AMB:166977493854717,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:170955,gen,1,166977493854717,train,synth/el_pairs/AMB/166977493854717.mp3,elevenlabs
fsd:dev:AMB:175842,real,AMB,ambience,fsd50k,real,real,fsd50k,175842,dev,1,62394721203717,train,fsd50k/FSD50K.dev_audio/175842.wav,real
el:AMB:62394721203717,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:175842,gen,1,62394721203717,train,synth/el_pairs/AMB/62394721203717.mp3,elevenlabs
fsd:dev:AMB:175845,real,AMB,ambience,fsd50k,real,real,fsd50k,175845,dev,1,250260468773789,train,fsd50k/FSD50K.dev_audio/175845.wav,real
el:AMB:250260468773789,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:175845,gen,1,250260468773789,train,synth/el_pairs/AMB/250260468773789.mp3,elevenlabs
fsd:dev:AMB:175848,real,AMB,ambience,fsd50k,real,real,fsd50k,175848,dev,1,124863433392562,train,fsd50k/FSD50K.dev_audio/175848.wav,real
el:AMB:124863433392562,synth,AMB,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:AMB:175848,gen,1,124863433392562,train,synth/el_pairs/AMB/124863433392562.mp3,elevenlabs
fsd:dev:ANML:100767,real,ANML,vocal,fsd50k,real,real,fsd50k,100767,dev,1,21596779500550,train,fsd50k/FSD50K.dev_audio/100767.wav,real
el:ANML:21596779500550,synth,ANML,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ANML:100767,gen,1,21596779500550,train,synth/el_pairs/ANML/21596779500550.mp3,elevenlabs
fsd:dev:ANML:102561,real,ANML,vocal,fsd50k,real,real,fsd50k,102561,dev,1,80660099139425,val,fsd50k/FSD50K.dev_audio/102561.wav,real
el:ANML:80660099139425,synth,ANML,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ANML:102561,gen,1,80660099139425,val,synth/el_pairs/ANML/80660099139425.mp3,elevenlabs
fsd:dev:ANML:103045,real,ANML,vocal,fsd50k,real,real,fsd50k,103045,dev,1,280331243100140,train,fsd50k/FSD50K.dev_audio/103045.wav,real
el:ANML:280331243100140,synth,ANML,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ANML:103045,gen,1,280331243100140,train,synth/el_pairs/ANML/280331243100140.mp3,elevenlabs
fsd:dev:ANML:103125,real,ANML,vocal,fsd50k,real,real,fsd50k,103125,dev,1,138838312891599,train,fsd50k/FSD50K.dev_audio/103125.wav,real
el:ANML:138838312891599,synth,ANML,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ANML:103125,gen,1,138838312891599,train,synth/el_pairs/ANML/138838312891599.mp3,elevenlabs
fsd:dev:ANML:161303,real,ANML,vocal,fsd50k,real,real,fsd50k,161303,dev,1,147358961667345,train,fsd50k/FSD50K.dev_audio/161303.wav,real
el:ANML:147358961667345,synth,ANML,other,elevenlabs,elevenlabs,synth,generated,fsd:dev:ANML:161303,gen,1,147358961667345,train,synth/el_pairs/ANML/147358961667345.mp3,elevenlabs
fsd:dev:ANML:164311,real,ANML,vocal,fsd50k,real,real,fsd50k,164311,dev,1,125801961034145,train,fsd50k/FSD50K.dev_audio/164311.wav,real
