clip_id,domain,event,morphology,source,system_id,track,orig_dataset,orig_id,dcase_subset,is_cc,instance_id,split,path,cond
fsd:dev:ALRM:100357,real,ALRM,tonal,fsd50k,real,real,fsd50k,100357,dev,1,105476126434547,train,fsd50k/FSD50K.dev_audio/100357.wav,real
fsd:dev:ALRM:100459,real,ALRM,tonal,fsd50k,real,real,fsd50k,100459,dev,1,280498079971523,train,fsd50k/FSD50K.dev_audio/100459.wav,real
fsd:dev:ALRM:100460,real,ALRM,tonal,fsd50k,real,real,fsd50k,100460,dev,1,241461908890464,train,fsd50k/FSD50K.dev_audio/100460.wav,real
fsd:dev:ALRM:100461,real,ALRM,tonal,fsd50k,real,real,fsd50k,100461,dev,1,162896881610090,train,fsd50k/FSD50K.dev_audio/100461.wav,real
fsd:dev:ALRM:100462,real,ALRM,tonal,fsd50k,real,real,fsd50k,100462,dev,1,144205901116362,train,fsd50k/FSD50K.dev_audio/100462.wav,real
fsd:dev:ALRM:103335,real,ALRM,tonal,fsd50k,real,real,fsd50k,103335,dev,1,106791626656484,train,fsd50k/FSD50K.dev_audio/103335.wav,real
fsd:dev:ALRM:104475,real,ALRM,tonal,fsd50k,real,real,fsd50k,104475,dev,1,53281738305594,train,fsd50k/FSD50K.dev_audio/104475.wav,real
fsd:dev:ALRM:104476,real,ALRM,tonal,fsd50k,real,real,fsd50k,104476,dev,1,189951402025951,train,fsd50k/FSD50K.dev_audio/104476.wav,real
fsd:dev:ALRM:106831,real,ALRM,tonal,fsd50k,real,real,fsd50k,106831,dev,1,71223249995964,train,fsd50k/FSD50K.dev_audio/106831.wav,real
fsd:dev:ALRM:110133,real,ALRM,tonal,fsd50k,real,real,fsd50k,110133,dev,1,191309044790994,train,fsd50k/FSD50K.dev_audio/110133.wav,real
fsd:dev:ALRM:110692,real,ALRM,tonal,fsd50k,real,real,fsd50k,110692,dev,1,251454165775798,train,fsd50k/FSD50K.dev_audio/110692.wav,real
fsd:dev:ALRM:111707,real,ALRM,tonal,fsd50k,real,real,fsd50k,111707,dev,1,108702842571304,train,fsd50k/FSD50K.dev_audio/111707.wav,real
fsd:dev:ALRM:117793,real,ALRM,tonal,fsd50k,real,real,fsd50k,117793,dev,1,41344523353908,train,fsd50k/FSD50K.dev_audio/117793.wav,real
fsd:dev:ALRM:124734,real,ALRM,tonal,fsd50k,real,real,fsd50k,124734,dev,1,192016714731405,train,fsd50k/FSD50K.dev_audio/124734.wav,real
fsd:dev:ALRM:125102,real,ALRM,tonal,fsd50k,real,real,fsd50k,125102,dev,1,27895583452952,train,fsd50k/FSD50K.dev_audio/125102.wav,real
fsd:dev:ALRM:126519,real,ALRM,tonal,fsd50k,real,real,fsd50k,126519,dev,1,44078410245276,train,fsd50k/FSD50K.dev_audio/126519.wav,real
fsd:dev:ALRM:126559,real,ALRM,tonal,fsd50k,real,real,fsd50k,126559,dev,1,131147550372401,train,fsd50k/FSD50K.dev_audio/126559.wav,real
fsd:dev:ALRM:126560,real,ALRM,tonal,fsd50k,real,real,fsd50k,126560,dev,1,152033934479329,train,fsd50k/FSD50K.dev_audio/126560.wav,real
fsd:dev:ALRM:126561,real,ALRM,tonal,fsd50k,real,real,fsd50k,126561,dev,1,239558801741624,train,fsd50k/FSD50K.dev_audio/126561.wav,real
fsd:dev:ALRM:128021,real,ALRM,tonal,fsd50k,real,real,fsd50k,128021,dev,1,275560453606140,train,fsd50k/FSD50K.dev_audio/128021.wav,real
fsd:dev:ALRM:128138,real,ALRM,tonal,fsd50k,real,real,fsd50k,128138,dev,1,145275035596173,train,fsd50k/FSD50K.dev_audio/128138.wav,real
fsd:dev:ALRM:128910,real,ALRM,tonal,fsd50k,real,real,fsd50k,128910,dev,1,166688064194761,train,fsd50k/FSD50K.dev_audio/128910.wav,real
fsd:dev:ALRM:129464,real,ALRM,tonal,fsd50k,real,real,fsd50k,129464,dev,1,184261413128294,train,fsd50k/FSD50K.dev_audio/129464.wav,real
fsd:dev:ALRM:135511,real,ALRM,tonal,fsd50k,real,real,fsd50k,135511,dev,1,178030991012617,train,fsd50k/FSD50K.dev_audio/135511.wav,real
fsd:dev:ALRM:135613,real,ALRM,tonal,fsd50k,real,real,fsd50k,135613,dev,1,170103594427452,train,fsd50k/FSD50K.dev_audio/135613.wav,real
fsd:dev:ALRM:13613,real,ALRM,tonal,fsd50k,real,real,fsd50k,13613,dev,1,94707624442777,train,fsd50k/FSD50K.dev_audio/13613.wav,real
fsd:dev:ALRM:139958,real,ALRM,tonal,fsd50k,real,real,fsd50k,139958,dev,1,23130897880048,train,fsd50k/FSD50K.dev_audio/139958.wav,real
fsd:dev:ALRM:147933,real,ALRM,tonal,fsd50k,real,real,fsd50k,147933,dev,1,116603587280441,train,fsd50k/FSD50K.dev_audio/147933.wav,real
fsd:dev:ALRM:148266,real,ALRM,tonal,fsd50k,real,real,fsd50k,148266,dev,1,200738641653829,val,fsd50k/FSD50K.dev_audio/148266.wav,real
fsd:dev:ALRM:148297,real,ALRM,tonal,fsd50k,real,real,fsd50k,148297,dev,1,16613413199467,train,fsd50k/FSD50K.dev_audio/148297.wav,real
fsd:dev:ALRM:150052,real,ALRM,tonal,fsd50k,real,real,fsd50k,150052,dev,1,244136678799609,train,fsd50k/FSD50K.dev_audio/150052.wav,real
fsd:dev:ALRM:150053,real,ALRM,tonal,fsd50k,real,real,fsd50k,150053,dev,1,151189355668576,train,fsd50k/FSD50K.dev_audio/150053.wav,real
fsd:dev:ALRM:150981,real,ALRM,tonal,fsd50k,real,real,fsd50k,150981,dev,1,204963509486322,train,fsd50k/FSD50K.dev_audio/150981.wav,real
fsd:dev:ALRM:154894,real,ALRM,tonal,fsd50k,real,real,fsd50k,154894,dev,1,262519508834664,train,fsd50k/FSD50K.dev_audio/154894.wav,real
fsd:dev:ALRM:154954,real,ALRM,tonal,fsd50k,real,real,fsd50k,154954,dev,1,98687527639074,train,fsd50k/FSD50K.dev_audio/154954.wav,real
fsd:dev:ALRM:154956,real,ALRM,tonal,fsd50k,real,real,fsd50k,154956,dev,1,253761430669192,train,fsd50k/FSD50K.dev_audio/154956.wav,real
fsd:dev:ALRM:155251,real,ALRM,tonal,fsd50k,real,real,fsd50k,155251,dev,1,14187588354179,train,fsd50k/FSD50K.dev_audio/155251.wav,real
fsd:dev:ALRM:156453,real,ALRM,tonal,fsd50k,real,real,fsd50k,156453,dev,1,40005453612787,train,fsd50k/FSD50K.dev_audio/156453.wav,real
fsd:dev:ALRM:156672,real,ALRM,tonal,fsd50k,real,real,fsd50k,156672,dev,1,225636759109955,train,fsd50k/FSD50K.dev_audio/156672.wav,real
fsd:dev:ALRM:156831,real,ALRM,tonal,fsd50k,real,real,fsd50k,156831,dev,1,72714404424274,train,fsd50k/FSD50K.dev_audio/156831.wav,real
fsd:dev:AMB:101239,real,AMB,ambience,fsd50k,real,real,fsd50k,101239,dev,1,88198502846665,train,fsd50k/FSD50K.dev_audio/101239.wav,real
fsd:dev:AMB:101241,real,AMB,ambience,fsd50k,real,real,fsd50k,101241,dev,1,30128738447867,train,fsd50k/FSD50K.dev_audio/101241.wav,real
fsd:dev:AMB:101242,real,AMB,ambience,fsd50k,real,real,fsd50k,101242,dev,1,272913158403931,train,fsd50k/FSD50K.dev_audio/101242.wav,real
fsd:dev:AMB:101243,real,AMB,ambience,fsd50k,real,real,fsd50k,101243,dev,1,13180309641989,train,fsd50k/FSD50K.dev_audio/101243.wav,real
fsd:dev:AMB:101244,real,AMB,ambience,fsd50k,real,real,fsd50k,101244,dev,1,11395840805433,train,fsd50k/FSD50K.dev_audio/101244.wav,real
fsd:dev:AMB:101868,real,AMB,ambience,fsd50k,real,real,fsd50k,101868,dev,1,202407283779407,train,fsd50k/FSD50K.dev_audio/101868.wav,real
fsd:dev:AMB:103185,real,AMB,ambience,fsd50k,real,real,fsd50k,103185,dev,1,8455662046130,train,fsd50k/FSD50K.dev_audio/103185.wav,real
fsd:dev:AMB:110854,real,AMB,ambience,fsd50k,real,real,fsd50k,110854,dev,1,198632447750052,train,fsd50k/FSD50K.dev_audio/110854.wav,real
fsd:dev:AMB:116220,real,AMB,ambience,fsd50k,real,real,fsd50k,116220,dev,1,151833243051655,train,fsd50k/FSD50K.dev_audio/116220.wav,real
fsd:dev:AMB:121287,real,AMB,ambience,fsd50k,real,real,fsd50k,121287,dev,1,101754111855935,train,fsd50k/FSD50K.dev_audio/121287.wav,real
fsd:dev:AMB:138465,real,AMB,ambience,fsd50k,real,real,fsd50k,138465,dev,1,113218774451377,val,fsd50k/FSD50K.dev_audio/138465.wav,real
fsd:dev:AMB:151359,real,AMB,ambience,fsd50k,real,real,fsd50k,151359,dev,1,81566557120067,val,fsd50k/FSD50K.dev_audio/151359.wav,real
fsd:dev:AMB:156195,real,AMB,ambience,fsd50k,real,real,fsd50k,156195,dev,1,145907898578532,train,fsd50k/FSD50K.dev_audio/156195.wav,real
fsd:dev:AMB:160684,real,AMB,ambience,fsd50k,real,real,fsd50k,160684,dev,1,256443398543218,train,fsd50k/FSD50K.dev_audio/160684.wav,real
fsd:dev:AMB:161238,real,AMB,ambience,fsd50k,real,real,fsd50k,161238,dev,1,216497644825263,train,fsd50k/FSD50K.dev_audio/161238.wav,real
fsd:dev:AMB:162726,real,AMB,ambience,fsd50k,real,real,fsd50k,162726,dev,1,226459930345683,train,fsd50k/FSD50K.dev_audio/162726.wav,real
fsd:dev:AMB:170955,real,AMB,ambience,fsd50k,real,real,fsd50k,170955,dev,1,166977493854717,train,fsd50k/FSD50K.dev_audio/170955.wav,real
fsd:dev:AMB:175842,real,AMB,ambience,fsd50k,real,real,fsd50k,175842,dev,1,62394721203717,train,fsd50k/FSD50K.dev_audio/175842.wav,real
fsd:dev:AMB:175845,real,AMB,ambience,fsd50k,real,real,fsd50k,175845,dev,1,250260468773789,train,fsd50k/FSD50K.dev_audio/175845.wav,real
fsd:dev:AMB:175848,real,AMB,ambience,fsd50k,real,real,fsd50k,175848,dev,1,124863433392562,train,fsd50k/FSD50K.dev_audio/175848.wav,real
fsd:dev:AMB:175849,real,AMB,ambience,fsd50k,real,real,fsd50k,175849,dev,1,58380464840531,train,fsd50k/FSD50K.dev_audio/175849.wav,real
fsd:dev:AMB:175851,real,AMB,ambience,fsd50k,real,real,fsd50k,175851,dev,1,2635713029804,train,fsd50k/FSD50K.dev_audio/175851.wav,real
fsd:dev:AMB:175856,real,AMB,ambience,fsd50k,real,real,fsd50k,175856,dev,1,41376699931933,train,fsd50k/FSD50K.dev_audio/175856.wav,real
fsd:dev:AMB:179860,real,AMB,ambience,fsd50k,real,real,fsd50k,179860,dev,1,272353282875124,train,fsd50k/FSD50K.dev_audio/179860.wav,real
fsd:dev:AMB:179862,real,AMB,ambience,fsd50k,real,real,fsd50k,179862,dev,1,148251393811182,train,fsd50k/FSD50K.dev_audio/179862.wav,real
fsd:dev:AMB:179865,real,AMB,ambience,fsd50k,real,real,fsd50k,179865,dev,1,178218765068147,train,fsd50k/FSD50K.dev_audio/179865.wav,real
fsd:dev:AMB:179866,real,AMB,ambience,fsd50k,real,real,fsd50k,179866,dev,1,280431549714420,train,fsd50k/FSD50K.dev_audio/179866.wav,real
fsd:dev:AMB:179867,real,AMB,ambience,fsd50k,real,real,fsd50k,179867,dev,1,244903505389936,train,fsd50k/FSD50K.dev_audio/179867.wav,real
fsd:dev:AMB:180951,real,AMB,ambience,fsd50k,real,real,fsd50k,180951,dev,1,92701690984846,train,fsd50k/FSD50K.dev_audio/180951.wav,real
fsd:dev:AMB:184609,real,AMB,ambience,fsd50k,real,real,fsd50k,184609,dev,1,42247446397965,train,fsd50k/FSD50K.dev_audio/184609.wav,real
fsd:dev:AMB:20782,real,AMB,ambience,fsd50k,real,real,fsd50k,20782,dev,1,255677142540161,train,fsd50k/FSD50K.dev_audio/20782.wav,real
fsd:dev:AMB:211512,real,AMB,ambience,fsd50k,real,real,fsd50k,211512,dev,1,127517746905035,train,fsd50k/FSD50K.dev_audio/211512.wav,real
fsd:dev:AMB:212182,real,AMB,ambience,fsd50k,real,real,fsd50k,212182,dev,1,151981686107689,train,fsd50k/FSD50K.dev_audio/212182.wav,real
fsd:dev:AMB:212186,real,AMB,ambience,fsd50k,real,real,fsd50k,212186,dev,1,133861971224747,train,fsd50k/FSD50K.dev_audio/212186.wav,real
fsd:dev:AMB:212187,real,AMB,ambience,fsd50k,real,real,fsd50k,212187,dev,1,278105664861016,train,fsd50k/FSD50K.dev_audio/212187.wav,real
fsd:dev:AMB:212194,real,AMB,ambience,fsd50k,real,real,fsd50k,212194,dev,1,221085257692763,train,fsd50k/FSD50K.dev_audio/212194.wav,real
fsd:dev:AMB:212197,real,AMB,ambience,fsd50k,real,real,fsd50k,212197,dev,1,180597435578860,train,fsd50k/FSD50K.dev_audio/212197.wav,real
fsd:dev:AMB:221813,real,AMB,ambience,fsd50k,real,real,fsd50k,221813,dev,1,166719732787011,train,fsd50k/FSD50K.dev_audio/221813.wav,real
fsd:dev:AMB:22354,real,AMB,ambience,fsd50k,real,real,fsd50k,22354,dev,1,165064195710240,train,fsd50k/FSD50K.dev_audio/22354.wav,real
fsd:dev:AMB:244807,real,AMB,ambience,fsd50k,real,real,fsd50k,244807,dev,1,228285806923413,train,fsd50k/FSD50K.dev_audio/244807.wav,real
fsd:dev:ANML:100767,real,ANML,vocal,fsd50k,real,real,fsd50k,100767,dev,1,21596779500550,train,fsd50k/FSD50K.dev_audio/100767.wav,real
fsd:dev:ANML:102561,real,ANML,vocal,fsd50k,real,real,fsd50k,102561,dev,1,80660099139425,val,fsd50k/FSD50K.dev_audio/102561.wav,real
fsd:dev:ANML:103045,real,ANML,vocal,fsd50k,real,real,fsd50k,103045,dev,1,280331243100140,train,fsd50k/FSD50K.dev_audio/103045.wav,real
fsd:dev:ANML:103125,real,ANML,vocal,fsd50k,real,real,fsd50k,103125,dev,1,138838312891599,train,fsd50k/FSD50K.dev_audio/103125.wav,real
fsd:dev:ANML:161303,real,ANML,vocal,fsd50k,real,real,fsd50k,161303,dev,1,147358961667345,train,fsd50k/FSD50K.dev_audio/161303.wav,real
fsd:dev:ANML:164311,real,ANML,vocal,fsd50k,real,real,fsd50k,164311,dev,1,125801961034145,train,fsd50k/FSD50K.dev_audio/164311.wav,real
fsd:dev:ANML:20062,real,ANML,vocal,fsd50k,real,real,fsd50k,20062,dev,1,129408792423624,train,fsd50k/FSD50K.dev_audio/20062.wav,real
fsd:dev:ANML:201613,real,ANML,vocal,fsd50k,real,real,fsd50k,201613,dev,1,243870465862439,train,fsd50k/FSD50K.dev_audio/201613.wav,real
fsd:dev:ANML:217767,real,ANML,vocal,fsd50k,real,real,fsd50k,217767,dev,1,135780137933414,train,fsd50k/FSD50K.dev_audio/217767.wav,real
fsd:dev:ANML:233783,real,ANML,vocal,fsd50k,real,real,fsd50k,233783,dev,1,188552684890414,train,fsd50k/FSD50K.dev_audio/233783.wav,real
fsd:dev:ANML:233784,real,ANML,vocal,fsd50k,real,real,fsd50k,233784,dev,1,158556647792635,train,fsd50k/FSD50K.dev_audio/233784.wav,real
fsd:dev:ANML:233785,real,ANML,vocal,fsd50k,real,real,fsd50k,233785,dev,1,158511136859746,train,fsd50k/FSD50K.dev_audio/233785.wav,real
fsd:dev:ANML:233786,real,ANML,vocal,fsd50k,real,real,fsd50k,233786,dev,1,165651881269548,train,fsd50k/FSD50K.dev_audio/233786.wav,real
fsd:dev:ANML:235864,real,ANML,vocal,fsd50k,real,real,fsd50k,235864,dev,1,29808180597487,train,fsd50k/FSD50K.dev_audio/235864.wav,real
fsd:dev:ANML:235865,real,ANML,vocal,fsd50k,real,real,fsd50k,235865,dev,1,240177629924149,train,fsd50k/FSD50K.dev_audio/235865.wav,real
fsd:dev:ANML:235867,real,ANML,vocal,fsd50k,real,real,fsd50k,235867,dev,1,168876244255812,train,fsd50k/FSD50K.dev_audio/235867.wav,real
fsd:dev:ANML:235869,real,ANML,vocal,fsd50k,real,real,fsd50k,235869,dev,1,235159551807394,train,fsd50k/FSD50K.dev_audio/235869.wav,real
fsd:dev:ANML:235871,real,ANML,vocal,fsd50k,real,real,fsd50k,235871,dev,1,42370887995268,train,fsd50k/FSD50K.dev_audio/235871.wav,real
fsd:dev:ANML:235872,real,ANML,vocal,fsd50k,real,real,fsd50k,235872,dev,1,54469495152074,train,fsd50k/FSD50K.dev_audio/235872.wav,real
