clip_id,domain,event,morphology,source,system_id,track,orig_dataset,orig_id,dcase_subset,is_cc,instance_id,split,path
fsd:eval:MUSC:189586,real,MUSC,tonal,fsd50k,real,real,fsd50k,189586,eval,1,-1,test,fsd50k/FSD50K.eval_audio/189586.wav
fsd:eval:MUSC:11385,real,MUSC,tonal,fsd50k,real,real,fsd50k,11385,eval,1,-1,test,fsd50k/FSD50K.eval_audio/11385.wav
fsd:eval:MUSC:11386,real,MUSC,tonal,fsd50k,real,real,fsd50k,11386,eval,1,-1,test,fsd50k/FSD50K.eval_audio/11386.wav
fsd:eval:MUSC:11388,real,MUSC,tonal,fsd50k,real,real,fsd50k,11388,eval,1,-1,test,fsd50k/FSD50K.eval_audio/11388.wav
fsd:eval:MUSC:11389,real,MUSC,tonal,fsd50k,real,real,fsd50k,11389,eval,1,-1,test,fsd50k/FSD50K.eval_audio/11389.wav
fsd:eval:MUSC:11393,real,MUSC,tonal,fsd50k,real,real,fsd50k,11393,eval,1,-1,test,fsd50k/FSD50K.eval_audio/11393.wav
fsd:eval:MUSC:151822,real,MUSC,tonal,fsd50k,real,real,fsd50k,151822,eval,1,-1,test,fsd50k/FSD50K.eval_audio/151822.wav
fsd:eval:MUSC:198777,real,MUSC,tonal,fsd50k,real,real,fsd50k,198777,eval,1,-1,test,fsd50k/FSD50K.eval_audio/198777.wav
fsd:eval:MUSC:175151,real,MUSC,tonal,fsd50k,real,real,fsd50k,175151,eval,1,-1,test,fsd50k/FSD50K.eval_audio/175151.wav
fsd:eval:MUSC:175152,real,MUSC,tonal,fsd50k,real,real,fsd50k,175152,eval,1,-1,test,fsd50k/FSD50K.eval_audio/175152.wav
fsd:eval:MUSC:175154,real,MUSC,tonal,fsd50k,real,real,fsd50k,175154,eval,1,-1,test,fsd50k/FSD50K.eval_audio/175154.wav
fsd:eval:MUSC:175157,real,MUSC,tonal,fsd50k,real,real,fsd50k,175157,eval,1,-1,test,fsd50k/FSD50K.eval_audio/175157.wav
