clip_id,domain,event,morphology,source,system_id,track,orig_dataset,orig_id,dcase_subset,is_cc,instance_id,split,path
fsd:eval:MUSC:198777,real,MUSC,tonal,fsd50k,real,real,fsd50k,198777,eval,1,150478898117923,test,fsd50k/FSD50K.eval_audio/198777.wav
sao:MUSC:150478898117923,synth,MUSC,other,stable_audio_open,sao,synth,generated,fsd:eval:MUSC:198777,gen,1,150478898117923,test,synth/sao_pairs/MUSC/150478898117923.wav
fsd:eval:MUSC:175154,real,MUSC,tonal,fsd50k,real,real,fsd50k,175154,eval,1,174724978530196,test,fsd50k/FSD50K.eval_audio/175154.wav
sao:MUSC:174724978530196,synth,MUSC,other,stable_audio_open,sao,synth,generated,fsd:eval:MUSC:175154,gen,1,174724978530196,test,synth/sao_pairs/MUSC/174724978530196.wav
fsd:eval:MUSC:175159,real,MUSC,tonal,fsd50k,real,real,fsd50k,175159,eval,1,218036091894063,test,fsd50k/FSD50K.eval_audio/175159.wav
sao:MUSC:218036091894063,synth,MUSC,other,stable_audio_open,sao,synth,generated,fsd:eval:MUSC:175159,gen,1,218036091894063,test,synth/sao_pairs/MUSC/218036091894063.wav
fsd:eval:MUSC:175162,real,MUSC,tonal,fsd50k,real,real,fsd50k,175162,eval,1,91557848598613,test,fsd50k/FSD50K.eval_audio/175162.wav
sao:MUSC:91557848598613,synth,MUSC,other,stable_audio_open,sao,synth,generated,fsd:eval:MUSC:175162,gen,1,91557848598613,test,synth/sao_pairs/MUSC/91557848598613.wav
fsd:eval:MUSC:175186,real,MUSC,tonal,fsd50k,real,real,fsd50k,175186,eval,1,226747216481051,test,fsd50k/FSD50K.eval_audio/175186.wav
sao:MUSC:226747216481051,synth,MUSC,other,stable_audio_open,sao,synth,generated,fsd:eval:MUSC:175186,gen,1,226747216481051,test,synth/sao_pairs/MUSC/226747216481051.wav
fsd:eval:MUSC:175190,real,MUSC,tonal,fsd50k,real,real,fsd50k,175190,eval,1,234084920943530,test,fsd50k/FSD50K.eval_audio/175190.wav
