clip_id,domain,event,morphology,source,system_id,track,orig_dataset,orig_id,dcase_subset,is_cc,instance_id,split,path
fsd:eval:MUSC:198777,real,MUSC,tonal,fsd50k,real,real,fsd50k,198777,eval,1,-1,test,fsd50k/FSD50K.eval_audio/198777.wav
fsd:eval:MUSC:175154,real,MUSC,tonal,fsd50k,real,real,fsd50k,175154,eval,1,-1,test,fsd50k/FSD50K.eval_audio/175154.wav
fsd:eval:MUSC:175159,real,MUSC,tonal,fsd50k,real,real,fsd50k,175159,eval,1,-1,test,fsd50k/FSD50K.eval_audio/175159.wav
fsd:eval:MUSC:175162,real,MUSC,tonal,fsd50k,real,real,fsd50k,175162,eval,1,-1,test,fsd50k/FSD50K.eval_audio/175162.wav
fsd:eval:MUSC:175186,real,MUSC,tonal,fsd50k,real,real,fsd50k,175186,eval,1,-1,test,fsd50k/FSD50K.eval_audio/175186.wav
fsd:eval:MUSC:175190,real,MUSC,tonal,fsd50k,real,real,fsd50k,175190,eval,1,-1,test,fsd50k/FSD50K.eval_audio/175190.wav
fsd:eval:MUSC:175196,real,MUSC,tonal,fsd50k,real,real,fsd50k,175196,eval,1,-1,test,fsd50k/FSD50K.eval_audio/175196.wav
fsd:eval:MUSC:196652,real,MUSC,tonal,fsd50k,real,real,fsd50k,196652,eval,1,-1,test,fsd50k/FSD50K.eval_audio/196652.wav
fsd:eval:MUSC:210716,real,MUSC,tonal,fsd50k,real,real,fsd50k,210716,eval,1,-1,test,fsd50k/FSD50K.eval_audio/210716.wav
fsd:eval:MUSC:94934,real,MUSC,tonal,fsd50k,real,real,fsd50k,94934,eval,1,-1,test,fsd50k/FSD50K.eval_audio/94934.wav
fsd:eval:MUSC:240195,real,MUSC,tonal,fsd50k,real,real,fsd50k,240195,eval,1,-1,test,fsd50k/FSD50K.eval_audio/240195.wav
fsd:eval:MUSC:89494,real,MUSC,tonal,fsd50k,real,real,fsd50k,89494,eval,1,-1,test,fsd50k/FSD50K.eval_audio/89494.wav
fsd:eval:MUSC:256985,real,MUSC,tonal,fsd50k,real,real,fsd50k,256985,eval,1,-1,test,fsd50k/FSD50K.eval_audio/256985.wav
fsd:eval:MUSC:256986,real,MUSC,tonal,fsd50k,real,real,fsd50k,256986,eval,1,-1,test,fsd50k/FSD50K.eval_audio/256986.wav
fsd:eval:MUSC:258115,real,MUSC,tonal,fsd50k,real,real,fsd50k,258115,eval,1,-1,test,fsd50k/FSD50K.eval_audio/258115.wav
fsd:eval:MUSC:259886,real,MUSC,tonal,fsd50k,real,real,fsd50k,259886,eval,1,-1,test,fsd50k/FSD50K.eval_audio/259886.wav
fsd:eval:MUSC:259887,real,MUSC,tonal,fsd50k,real,real,fsd50k,259887,eval,1,-1,test,fsd50k/FSD50K.eval_audio/259887.wav
fsd:eval:MUSC:250132,real,MUSC,tonal,fsd50k,real,real,fsd50k,250132,eval,1,-1,test,fsd50k/FSD50K.eval_audio/250132.wav
fsd:eval:MUSC:213096,real,MUSC,tonal,fsd50k,real,real,fsd50k,213096,eval,1,-1,test,fsd50k/FSD50K.eval_audio/213096.wav
fsd:eval:MUSC:323817,real,MUSC,tonal,fsd50k,real,real,fsd50k,323817,eval,1,-1,test,fsd50k/FSD50K.eval_audio/323817.wav
fsd:eval:MUSC:251622,real,MUSC,tonal,fsd50k,real,real,fsd50k,251622,eval,1,-1,test,fsd50k/FSD50K.eval_audio/251622.wav
fsd:eval:MUSC:363467,real,MUSC,tonal,fsd50k,real,real,fsd50k,363467,eval,1,-1,test,fsd50k/FSD50K.eval_audio/363467.wav
fsd:eval:MUSC:36131,real,MUSC,tonal,fsd50k,real,real,fsd50k,36131,eval,1,-1,test,fsd50k/FSD50K.eval_audio/36131.wav
fsd:eval:MUSC:221275,real,MUSC,tonal,fsd50k,real,real,fsd50k,221275,eval,1,-1,test,fsd50k/FSD50K.eval_audio/221275.wav
fsd:eval:MUSC:238932,real,MUSC,tonal,fsd50k,real,real,fsd50k,238932,eval,1,-1,test,fsd50k/FSD50K.eval_audio/238932.wav
fsd:eval:MUSC:181827,real,MUSC,tonal,fsd50k,real,real,fsd50k,181827,eval,1,-1,test,fsd50k/FSD50K.eval_audio/181827.wav
fsd:eval:MUSC:53815,real,MUSC,tonal,fsd50k,real,real,fsd50k,53815,eval,1,-1,test,fsd50k/FSD50K.eval_audio/53815.wav
fsd:eval:MUSC:192678,real,MUSC,tonal,fsd50k,real,real,fsd50k,192678,eval,1,-1,test,fsd50k/FSD50K.eval_audio/192678.wav
fsd:eval:MUSC:237903,real,MUSC,tonal,fsd50k,real,real,fsd50k,237903,eval,1,-1,test,fsd50k/FSD50K.eval_audio/237903.wav
fsd:eval:MUSC:237910,real,MUSC,tonal,fsd50k,real,real,fsd50k,237910,eval,1,-1,test,fsd50k/FSD50K.eval_audio/237910.wav
fsd:eval:MUSC:351175,real,MUSC,tonal,fsd50k,real,real,fsd50k,351175,eval,1,-1,test,fsd50k/FSD50K.eval_audio/351175.wav
fsd:eval:MUSC:351176,real,MUSC,tonal,fsd50k,real,real,fsd50k,351176,eval,1,-1,test,fsd50k/FSD50K.eval_audio/351176.wav
fsd:eval:MUSC:351177,real,MUSC,tonal,fsd50k,real,real,fsd50k,351177,eval,1,-1,test,fsd50k/FSD50K.eval_audio/351177.wav
fsd:eval:MUSC:170309,real,MUSC,tonal,fsd50k,real,real,fsd50k,170309,eval,1,-1,test,fsd50k/FSD50K.eval_audio/170309.wav
fsd:eval:MUSC:141186,real,MUSC,tonal,fsd50k,real,real,fsd50k,141186,eval,1,-1,test,fsd50k/FSD50K.eval_audio/141186.wav
fsd:eval:MUSC:165331,real,MUSC,tonal,fsd50k,real,real,fsd50k,165331,eval,1,-1,test,fsd50k/FSD50K.eval_audio/165331.wav
fsd:eval:MUSC:329109,real,MUSC,tonal,fsd50k,real,real,fsd50k,329109,eval,1,-1,test,fsd50k/FSD50K.eval_audio/329109.wav
fsd:eval:MUSC:329110,real,MUSC,tonal,fsd50k,real,real,fsd50k,329110,eval,1,-1,test,fsd50k/FSD50K.eval_audio/329110.wav
fsd:eval:MUSC:349201,real,MUSC,tonal,fsd50k,real,real,fsd50k,349201,eval,1,-1,test,fsd50k/FSD50K.eval_audio/349201.wav
fsd:eval:MUSC:329870,real,MUSC,tonal,fsd50k,real,real,fsd50k,329870,eval,1,-1,test,fsd50k/FSD50K.eval_audio/329870.wav
fsd:eval:MUSC:401692,real,MUSC,tonal,fsd50k,real,real,fsd50k,401692,eval,1,-1,test,fsd50k/FSD50K.eval_audio/401692.wav
fsd:eval:MUSC:194431,real,MUSC,tonal,fsd50k,real,real,fsd50k,194431,eval,1,-1,test,fsd50k/FSD50K.eval_audio/194431.wav
